                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.5061,                 2.1293,                 1.0994,                0.77757,                      1,                0.88829,                0.51113,                 1.5859,                 2.9241,                 1.1963,             0.00097906,             0.00097906,             0.00097906
                     35,                 1.5346,                 2.1845,                 1.0292,                0.72444,                      1,                0.86978,                0.56211,                 1.4251,                 3.0022,                 1.2215,             0.00094812,             0.00094812,             0.00094812
                     36,                 1.5824,                 2.2064,                  1.024,                0.78551,                      1,                0.84929,                0.55211,                 1.4484,                  2.992,                 1.2446,             0.00091719,             0.00091719,             0.00091719
                     37,                 1.5545,                 2.0123,                0.99684,                0.99229,                      1,                  0.995,                0.61251,                 1.4587,                 2.8689,                  1.244,             0.00088625,             0.00088625,             0.00088625
                     38,                 1.6468,                 2.2508,                0.98116,                0.99229,                      1,                  0.995,                0.61251,                 1.4587,                 2.8689,                  1.244,             0.00085531,             0.00085531,             0.00085531
                     39,                 1.5333,                 2.1265,                 1.0473,                0.99069,                      1,                  0.995,                0.55836,                 1.4748,                 2.6734,                 1.1927,             0.00082438,             0.00082438,             0.00082438
                     40,                 1.3853,                 1.7827,                 1.0086,                0.99313,                      1,                  0.995,                0.53171,                 1.4833,                 2.6503,                 1.1857,             0.00079344,             0.00079344,             0.00079344
                     41,                 1.5409,                 2.1028,                0.98185,                0.99343,                      1,                  0.995,                0.56464,                 1.4589,                 2.7708,                 1.2106,              0.0007625,              0.0007625,              0.0007625
                     42,                  1.448,                 2.0356,                0.94849,                0.99343,                      1,                  0.995,                0.56464,                 1.4589,                 2.7708,                 1.2106,             0.00073156,             0.00073156,             0.00073156
                     43,                 1.4639,                 2.1153,                 1.0082,                0.99257,                      1,                  0.995,                0.57511,                 1.4334,                 2.8756,                 1.1851,             0.00070063,             0.00070063,             0.00070063
                     44,                 1.4222,                 2.0225,                0.96215,                0.99306,                      1,                  0.995,                0.56981,                 1.5087,                    2.9,                 1.1955,             0.00066969,             0.00066969,             0.00066969
                     45,                 1.4611,                  1.881,                 1.1385,                0.99628,                      1,                  0.995,                0.54011,                 1.5512,                 2.7559,                 1.1362,             0.00063875,             0.00063875,             0.00063875
